participant,scene,link,scheme,gc_source,window_samples_n,invalid_all_n,negative_n,missing_latency_n,over_10000_n,gc_window_all_n,invalid_gc_overlap_n,gc_valid_excluded_n,invalid_excluded_after_gc_n,retained_pct,valid_n,median_ms,mean_ms,p95_ms,p99_ms,max_ms,gt50_n,gt50_pct,max_gap_ms,nominal_rate_hz
P2,street,EyeTracking→PC,GC_retained,cross_link_heuristic,28416,3,3,0,0,1186,0,0,3,99.9894425676,28413,2.2900000000,4.8950783092,4.0900000000,127.4600000000,253.1500000000,469,1.6506528702,260.0000000000,94.7100000000
P2,street,MoCap→PC,GC_filtered,cross_link_heuristic,27000,0,0,0,0,1129,0,1129,0,95.8185185185,25871,6.5100000000,6.5316331027,8.0100000000,8.5300000000,23.5900000000,0,0.0000000000,523.0000000000,86.2366666667
P2,street,MoCap→PC,GC_retained,cross_link_heuristic,27000,0,0,0,0,1129,0,0,0,100.0000000000,27000,6.5400000000,9.2114881481,8.2100000000,140.6028000000,262.1800000000,479,1.7740740741,268.0000000000,90.0000000000
P2,street,MoCap→VR,GC_filtered,cross_link_heuristic,26994,0,0,0,0,0,0,0,0,100.0000000000,26994,9.4400000000,9.9516585167,14.0570000000,20.0100000000,123.4100000000,9,0.0333407424,125.0000000000,89.9800000000
P2,street,MoCap→VR,GC_retained,cross_link_heuristic,26994,0,0,0,0,0,0,0,0,100.0000000000,26994,9.4400000000,9.9516585167,14.0570000000,20.0100000000,123.4100000000,9,0.0333407424,125.0000000000,89.9800000000
P2,street,PC<->VR 状态同步,GC_filtered,cross_link_heuristic,17259,0,0,0,0,0,0,0,0,100.0000000000,17259,30.3900000000,30.9705817255,37.0400000000,39.8710000000,44.1100000000,0,0.0000000000,274.0000000000,57.5300000000
P2,street,PC<->VR 状态同步,GC_retained,cross_link_heuristic,17259,0,0,0,0,0,0,0,0,100.0000000000,17259,30.3900000000,30.9705817255,37.0400000000,39.8710000000,44.1100000000,0,0.0000000000,274.0000000000,57.5300000000
P3,supermarket,EyeTracking→PC,GC_filtered,cross_link_heuristic,28564,0,0,0,0,1100,0,1100,0,96.1489987397,27464,2.4500000000,3.5952912904,6.5585000000,26.4737000000,84.3200000000,237,0.8629478590,578.0000000000,91.5466666667
P3,supermarket,EyeTracking→PC,GC_retained,cross_link_heuristic,28564,0,0,0,0,1100,0,0,0,100.0000000000,28564,2.4600000000,5.6478038790,11.4885000000,101.0351000000,286.5500000000,665,2.3281053074,269.0000000000,95.2133333333
P3,supermarket,MoCap→PC,GC_filtered,cross_link_heuristic,27001,0,0,0,0,1037,0,1037,0,96.1594015036,25964,8.1900000000,8.1553296873,9.7400000000,10.5600000000,33.0300000000,0,0.0000000000,524.0000000000,86.5466666667
