participant,scene,link,scheme,gc_source,window_samples_n,invalid_all_n,negative_n,missing_latency_n,over_10000_n,gc_window_all_n,invalid_gc_overlap_n,gc_valid_excluded_n,invalid_excluded_after_gc_n,retained_pct,valid_n,median_ms,mean_ms,p95_ms,p99_ms,max_ms,gt50_n,gt50_pct,max_gap_ms,nominal_rate_hz
P8,supermarket,MoCap→PC,GC_retained,direct_log,26756,0,0,0,0,825,0,0,0,100.0000000000,26756,8.6100000000,10.8081009867,10.5600000000,103.5710000000,279.5100000000,354,1.3230677231,282.0000000000,89.1866666667
P8,supermarket,MoCap→VR,GC_filtered,direct_log,26745,0,0,0,0,0,0,0,0,100.0000000000,26745,11.5000000000,12.1144120396,19.5600000000,24.2000000000,40.9300000000,0,0.0000000000,41.0000000000,89.1500000000
P8,supermarket,MoCap→VR,GC_retained,direct_log,26745,0,0,0,0,0,0,0,0,100.0000000000,26745,11.5000000000,12.1144120396,19.5600000000,24.2000000000,40.9300000000,0,0.0000000000,41.0000000000,89.1500000000
P8,supermarket,PC<->VR 状态同步,GC_filtered,direct_log,16882,0,0,0,0,0,0,0,0,100.0000000000,16882,31.7300000000,32.0288224144,36.6900000000,39.0300000000,44.0200000000,0,0.0000000000,297.0000000000,56.2733333333
P8,supermarket,PC<->VR 状态同步,GC_retained,direct_log,16882,0,0,0,0,0,0,0,0,100.0000000000,16882,31.7300000000,32.0288224144,36.6900000000,39.0300000000,44.0200000000,0,0.0000000000,297.0000000000,56.2733333333
P8,street,EyeTracking→PC,GC_filtered,direct_log,28853,1,1,0,0,1014,0,1014,1,96.4821682321,27838,2.3700000000,2.7813154681,5.3300000000,12.5563000000,38.8500000000,0,0.0000000000,524.0000000000,92.7933333333
P8,street,EyeTracking→PC,GC_retained,direct_log,28853,1,1,0,0,1014,0,0,1,99.9965341559,28852,2.3800000000,4.8618643422,6.9045000000,104.2620000000,258.6700000000,397,1.3759877998,262.0000000000,96.1733333333
P8,street,MoCap→PC,GC_filtered,direct_log,26951,0,0,0,0,952,0,952,0,96.4676635375,25999,7.6800000000,7.7265856379,9.2000000000,9.9500000000,26.0600000000,0,0.0000000000,523.0000000000,86.6633333333
P8,street,MoCap→PC,GC_retained,direct_log,26951,0,0,0,0,952,0,0,0,100.0000000000,26951,7.7000000000,9.9133431042,9.3800000000,114.6250000000,260.8900000000,398,1.4767541093,264.0000000000,89.8366666667
P8,street,MoCap→VR,GC_filtered,direct_log,26940,0,0,0,0,0,0,0,0,100.0000000000,26940,10.6000000000,11.1564717892,16.8300000000,19.9422000000,39.0500000000,0,0.0000000000,33.0000000000,89.8000000000
P8,street,MoCap→VR,GC_retained,direct_log,26940,0,0,0,0,0,0,0,0,100.0000000000,26940,10.6000000000,11.1564717892,16.8300000000,19.9422000000,39.0500000000,0,0.0000000000,33.0000000000,89.8000000000
P8,street,PC<->VR 状态同步,GC_filtered,direct_log,16805,0,0,0,0,0,0,0,0,100.0000000000,16805,29.4800000000,29.9401326986,36.0700000000,38.8100000000,41.5100000000,0,0.0000000000,273.0000000000,56.0166666667
P8,street,PC<->VR 状态同步,GC_retained,direct_log,16805,0,0,0,0,0,0,0,0,100.0000000000,16805,29.4800000000,29.9401326986,36.0700000000,38.8100000000,41.5100000000,0,0.0000000000,273.0000000000,56.0166666667
P9,supermarket,EyeTracking→PC,GC_filtered,direct_log,28454,1,1,0,0,489,0,489,1,98.2779222605,27964,2.3800000000,2.4856969675,3.6900000000,5.3637000000,18.0900000000,0,0.0000000000,537.0000000000,93.2133333333
P9,supermarket,EyeTracking→PC,GC_retained,direct_log,28454,1,1,0,0,489,0,0,1,99.9964855556,28453,2.3800000000,3.5823196148,3.7900000000,8.6596000000,265.1100000000,199,0.6993990089,274.0000000000,94.8433333333
P9,supermarket,MoCap→PC,GC_filtered,direct_log,26594,0,0,0,0,455,0,455,0,98.2890877642,26139,8.1700000000,8.6194888863,10.3500000000,21.7200000000,27.5300000000,0,0.0000000000,543.0000000000,87.1300000000
P9,supermarket,MoCap→PC,GC_retained,direct_log,26594,0,0,0,0,455,0,0,0,100.0000000000,26594,8.1700000000,9.7504745431,11.0635000000,23.3521000000,273.7700000000,196,0.7370083477,275.0000000000,88.6466666667
P9,supermarket,MoCap→VR,GC_filtered,direct_log,26585,0,0,0,0,0,0,0,0,100.0000000000,26585,11.0200000000,11.8775606545,21.0380000000,24.9900000000,40.2300000000,0,0.0000000000,38.0000000000,88.6166666667
P9,supermarket,MoCap→VR,GC_retained,direct_log,26585,0,0,0,0,0,0,0,0,100.0000000000,26585,11.0200000000,11.8775606545,21.0380000000,24.9900000000,40.2300000000,0,0.0000000000,38.0000000000,88.6166666667
P9,supermarket,PC<->VR 状态同步,GC_filtered,direct_log,15719,0,0,0,0,0,0,0,0,100.0000000000,15719,31.1500000000,31.6417621986,36.2000000000,40.2900000000,42.9600000000,0,0.0000000000,289.0000000000,52.3966666667
P9,supermarket,PC<->VR 状态同步,GC_retained,direct_log,15719,0,0,0,0,0,0,0,0,100.0000000000,15719,31.1500000000,31.6417621986,36.2000000000,40.2900000000,42.9600000000,0,0.0000000000,289.0000000000,52.3966666667
P9,street,EyeTracking→PC,GC_filtered,direct_log,28853,0,0,0,0,540,0,540,0,98.1284441826,28313,2.3000000000,2.4057567195,3.5800000000,5.4500000000,20.3800000000,0,0.0000000000,539.0000000000,94.3766666667
P9,street,EyeTracking→PC,GC_retained,direct_log,28853,0,0,0,0,540,0,0,0,100.0000000000,28853,2.3100000000,3.5738592174,3.7000000000,8.9980000000,265.3300000000,215,0.7451564829,274.0000000000,96.1766666667
P9,street,MoCap→PC,GC_filtered,direct_log,26683,0,0,0,0,501,0,501,0,98.1224000300,26182,8.2700000000,8.5502268734,10.1100000000,19.6419000000,26.1500000000,0,0.0000000000,545.0000000000,87.2733333333
P9,street,MoCap→PC,GC_retained,direct_log,26683,0,0,0,0,501,0,0,0,100.0000000000,26683,8.2800000000,9.7485863659,10.3300000000,22.6500000000,273.1300000000,211,0.7907656560,275.0000000000,88.9433333333
P9,street,MoCap→VR,GC_filtered,direct_log,26672,0,0,0,0,0,0,0,0,100.0000000000,26672,11.1200000000,11.8463793491,18.1600000000,23.0916000000,37.2300000000,0,0.0000000000,38.0000000000,88.9066666667
P9,street,MoCap→VR,GC_retained,direct_log,26672,0,0,0,0,0,0,0,0,100.0000000000,26672,11.1200000000,11.8463793491,18.1600000000,23.0916000000,37.2300000000,0,0.0000000000,38.0000000000,88.9066666667
P9,street,PC<->VR 状态同步,GC_filtered,direct_log,16570,0,0,0,0,0,0,0,0,100.0000000000,16570,29.2200000000,29.3632166566,34.9700000000,37.5600000000,40.1400000000,0,0.0000000000,1145.0000000000,55.2333333333
P9,street,PC<->VR 状态同步,GC_retained,direct_log,16570,0,0,0,0,0,0,0,0,100.0000000000,16570,29.2200000000,29.3632166566,34.9700000000,37.5600000000,40.1400000000,0,0.0000000000,1145.0000000000,55.2333333333
P10,supermarket,EyeTracking→PC,GC_filtered,direct_log,28473,0,0,0,0,450,0,450,0,98.4195553682,28023,2.3200000000,2.7346875781,4.6800000000,13.8500000000,55.8300000000,2,0.0071369946,553.0000000000,93.4100000000
P10,supermarket,EyeTracking→PC,GC_retained,direct_log,28473,0,0,0,0,450,0,0,0,100.0000000000,28473,2.3300000000,3.7970614266,5.3440000000,23.7048000000,273.8800000000,190,0.6672988445,282.0000000000,94.9100000000
P10,supermarket,MoCap→PC,GC_filtered,direct_log,26474,0,0,0,0,411,0,411,0,98.4475334290,26063,7.0700000000,7.0752204274,8.6600000000,9.3600000000,26.7400000000,0,0.0000000000,545.0000000000,86.8766666667
P10,supermarket,MoCap→PC,GC_retained,direct_log,26474,0,0,0,0,411,0,0,0,100.0000000000,26474,7.0700000000,8.1271764750,8.7300000000,9.9054000000,277.5500000000,176,0.6648032031,282.0000000000,88.2466666667
P10,supermarket,MoCap→VR,GC_filtered,direct_log,26460,0,0,0,0,0,0,0,0,100.0000000000,26460,10.1200000000,10.5392456538,14.5200000000,20.1600000000,28.8100000000,0,0.0000000000,44.0000000000,88.2000000000
P10,supermarket,MoCap→VR,GC_retained,direct_log,26460,0,0,0,0,0,0,0,0,100.0000000000,26460,10.1200000000,10.5392456538,14.5200000000,20.1600000000,28.8100000000,0,0.0000000000,44.0000000000,88.2000000000
P10,supermarket,PC<->VR 状态同步,GC_filtered,direct_log,16302,0,0,0,0,0,0,0,0,100.0000000000,16302,30.7600000000,31.1045871672,35.4395000000,39.7299000000,46.1000000000,0,0.0000000000,308.0000000000,54.3400000000
P10,supermarket,PC<->VR 状态同步,GC_retained,direct_log,16302,0,0,0,0,0,0,0,0,100.0000000000,16302,30.7600000000,31.1045871672,35.4395000000,39.7299000000,46.1000000000,0,0.0000000000,308.0000000000,54.3400000000
P10,street,EyeTracking→PC,GC_filtered,direct_log,28865,0,0,0,0,404,0,404,0,98.6003810844,28461,2.3000000000,2.4617251678,3.5300000000,5.2600000000,71.6600000000,33,0.1159481396,552.0000000000,94.8700000000
P10,street,EyeTracking→PC,GC_retained,direct_log,28865,0,0,0,0,404,0,0,0,100.0000000000,28865,2.3000000000,3.3881351117,3.6100000000,7.2208000000,275.8600000000,199,0.6894162481,284.0000000000,96.2166666667
P10,street,MoCap→PC,GC_filtered,direct_log,26431,0,0,0,0,372,0,372,0,98.5925617646,26059,7.2100000000,7.2064112207,8.7400000000,9.3300000000,24.4200000000,0,0.0000000000,555.0000000000,86.8633333333
P10,street,MoCap→PC,GC_retained,direct_log,26431,0,0,0,0,372,0,0,0,100.0000000000,26431,7.2200000000,8.1817751882,8.8000000000,9.7370000000,291.6800000000,163,0.6167000870,295.0000000000,88.1033333333
P10,street,MoCap→VR,GC_filtered,direct_log,26424,0,0,0,0,0,0,0,0,100.0000000000,26424,10.1200000000,10.5536391160,15.8785000000,18.0477000000,33.4300000000,0,0.0000000000,36.0000000000,88.0800000000
P10,street,MoCap→VR,GC_retained,direct_log,26424,0,0,0,0,0,0,0,0,100.0000000000,26424,10.1200000000,10.5536391160,15.8785000000,18.0477000000,33.4300000000,0,0.0000000000,36.0000000000,88.0800000000
P10,street,PC<->VR 状态同步,GC_filtered,direct_log,17285,0,0,0,0,0,0,0,0,100.0000000000,17285,28.0300000000,28.5480890946,33.6800000000,35.5100000000,41.5500000000,0,0.0000000000,310.0000000000,57.6166666667
P10,street,PC<->VR 状态同步,GC_retained,direct_log,17285,0,0,0,0,0,0,0,0,100.0000000000,17285,28.0300000000,28.5480890946,33.6800000000,35.5100000000,41.5500000000,0,0.0000000000,310.0000000000,57.6166666667
