scheme,scene,link,metric,participants_n,median,q1,q3,minimum,maximum,sum
GC_filtered,supermarket,MoCap→VR,gc_window_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,supermarket,MoCap→VR,invalid_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,supermarket,MoCap→VR,median_ms,10,10.2750000000,9.8350000000,10.9025000000,9.3700000000,11.5800000000,103.9100000000
GC_retained,supermarket,MoCap→VR,p95_ms,10,16.0900000000,14.2350000000,20.6685000000,12.4900000000,23.8500000000,173.5630000000
GC_retained,supermarket,MoCap→VR,p99_ms,10,20.5050000000,19.6890000000,24.7925000000,17.7000000000,38.3126000000,234.6372000000
GC_retained,supermarket,MoCap→VR,max_ms,10,40.8750000000,31.6650000000,48.6325000000,25.7300000000,167.8800000000,516.2600000000
GC_retained,supermarket,MoCap→VR,gt50_pct,10,0.0000000000,0.0000000000,0.0027937123,0.0000000000,0.4557581147,0.4668932163
GC_retained,supermarket,MoCap→VR,retained_pct,10,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,1000.0000000000
GC_retained,supermarket,MoCap→VR,gc_valid_excluded_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,supermarket,MoCap→VR,gc_window_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,supermarket,MoCap→VR,invalid_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,supermarket,PC<->VR 状态同步,median_ms,10,31.3150000000,31.1625000000,31.7050000000,27.8500000000,31.8800000000,310.6000000000
GC_filtered,supermarket,PC<->VR 状态同步,p95_ms,10,37.1550000000,36.3225000000,37.4661250000,32.0800000000,38.9600000000,366.5110000000
GC_filtered,supermarket,PC<->VR 状态同步,p99_ms,10,40.4600000000,39.8699250000,41.1179000000,35.6524000000,43.4500000000,403.5239000000
GC_filtered,supermarket,PC<->VR 状态同步,max_ms,10,44.8750000000,44.1375000000,46.4225000000,40.0500000000,51.3600000000,453.1100000000
GC_filtered,supermarket,PC<->VR 状态同步,gt50_pct,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0457875458,0.0457875458
GC_filtered,supermarket,PC<->VR 状态同步,retained_pct,10,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,1000.0000000000
GC_filtered,supermarket,PC<->VR 状态同步,gc_valid_excluded_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,supermarket,PC<->VR 状态同步,gc_window_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,supermarket,PC<->VR 状态同步,invalid_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,supermarket,PC<->VR 状态同步,median_ms,10,31.3150000000,31.1625000000,31.7050000000,27.8500000000,31.8800000000,310.6000000000
GC_retained,supermarket,PC<->VR 状态同步,p95_ms,10,37.1550000000,36.3225000000,37.4661250000,32.0800000000,38.9600000000,366.5110000000
GC_retained,supermarket,PC<->VR 状态同步,p99_ms,10,40.4600000000,39.8699250000,41.1179000000,35.6524000000,43.4500000000,403.5239000000
GC_retained,supermarket,PC<->VR 状态同步,max_ms,10,44.8750000000,44.1375000000,46.4225000000,40.0500000000,51.3600000000,453.1100000000
GC_retained,supermarket,PC<->VR 状态同步,gt50_pct,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0457875458,0.0457875458
GC_retained,supermarket,PC<->VR 状态同步,retained_pct,10,100.0000000000,100.0000000000,100.0000000000,100.0000000000,100.0000000000,1000.0000000000
GC_retained,supermarket,PC<->VR 状态同步,gc_valid_excluded_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,supermarket,PC<->VR 状态同步,gc_window_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_retained,supermarket,PC<->VR 状态同步,invalid_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000,0.0000000000
GC_filtered,street,EyeTracking→PC,median_ms,10,2.3400000000,2.3000000000,2.3925000000,2.2600000000,2.5300000000,23.5200000000
GC_filtered,street,EyeTracking→PC,p95_ms,10,3.7050000000,3.5800000000,4.1650000000,3.5300000000,6.1620000000,41.2820000000
GC_filtered,street,EyeTracking→PC,p99_ms,10,5.8816500000,5.4650000000,6.4925000000,5.2600000000,24.6688000000,83.4046000000
GC_filtered,street,EyeTracking→PC,max_ms,10,34.3800000000,25.4050000000,71.1650000000,20.3800000000,133.2800000000,511.9200000000
GC_filtered,street,EyeTracking→PC,gt50_pct,10,0.0000000000,0.0000000000,0.1323512302,0.0000000000,0.7261746414,1.1281273377
GC_filtered,street,EyeTracking→PC,retained_pct,10,97.0355631094,96.2277072537,97.8324842777,95.1540012515,98.6003810844,969.7144311830
GC_filtered,street,EyeTracking→PC,gc_valid_excluded_n,10,854.5000000000,622.2500000000,1086.0000000000,404.0000000000,1394.0000000000,8694.0000000000
GC_filtered,street,EyeTracking→PC,gc_window_all_n,10,854.5000000000,622.2500000000,1086.0000000000,404.0000000000,1394.0000000000,8694.0000000000
GC_filtered,street,EyeTracking→PC,invalid_all_n,10,0.0000000000,0.0000000000,0.0000000000,0.0000000000,3.0000000000,4.0000000000
GC_retained,street,EyeTracking→PC,median_ms,10,2.3500000000,2.3025000000,2.4025000000,2.2700000000,2.5400000000,23.6200000000
GC_retained,street,EyeTracking→PC,p95_ms,10,4.0850000000,3.8775000000,4.5075000000,3.6100000000,9.4500000000,48.5545000000
GC_retained,street,EyeTracking→PC,p99_ms,10,88.6851000000,58.2156500000,108.4688250000,7.2208000000,145.5365000000,812.3528000000
GC_retained,street,EyeTracking→PC,max_ms,10,262.0000000000,254.2275000000,287.9650000000,241.0500000000,309.0100000000,2712.2900000000
GC_retained,street,EyeTracking→PC,gt50_pct,10,1.2720153552,1.0410065703,1.6410753431,0.6894162481,1.9189320726,13.1813456532
