participant,scene,folder,link,window_samples_n,gc_excluded_n,gc_excluded_pct,invalid_excluded_n,invalid_excluded_pct,retained_n,retained_pct
P9,supermarket,P09/supermarket,MoCap→PC,26594,455,1.710912,0,0.000000,26139,98.289088
P9,supermarket,P09/supermarket,MoCap→VR,26585,0,0.000000,0,0.000000,26585,100.000000
P9,supermarket,P09/supermarket,PC<->VR 状态同步,15719,0,0.000000,0,0.000000,15719,100.000000
P9,street,P09/street,EyeTracking→PC,28853,540,1.871556,0,0.000000,28313,98.128444
P9,street,P09/street,MoCap→PC,26683,501,1.877600,0,0.000000,26182,98.122400
P9,street,P09/street,MoCap→VR,26672,0,0.000000,0,0.000000,26672,100.000000
P9,street,P09/street,PC<->VR 状态同步,16570,0,0.000000,0,0.000000,16570,100.000000
P10,supermarket,P10/supermarket,EyeTracking→PC,28473,450,1.580445,0,0.000000,28023,98.419555
P10,supermarket,P10/supermarket,MoCap→PC,26474,411,1.552467,0,0.000000,26063,98.447533
P10,supermarket,P10/supermarket,MoCap→VR,26460,0,0.000000,0,0.000000,26460,100.000000
P10,supermarket,P10/supermarket,PC<->VR 状态同步,16302,0,0.000000,0,0.000000,16302,100.000000
P10,street,P10/street,EyeTracking→PC,28865,404,1.399619,0,0.000000,28461,98.600381
P10,street,P10/street,MoCap→PC,26431,372,1.407438,0,0.000000,26059,98.592562
P10,street,P10/street,MoCap→VR,26424,0,0.000000,0,0.000000,26424,100.000000
P10,street,P10/street,PC<->VR 状态同步,17285,0,0.000000,0,0.000000,17285,100.000000
