序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
26,2026-08-21 09:50:56.841,2026-08-21 09:50:56.839,EyeTracking→PC,2.31,0.59,0.00,2.31,22.28,8.10,21.67,22.15,2.31,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,0.5,6.409,6
27,2026-08-21 09:50:56.852,2026-08-21 09:50:56.849,MoCap→PC,8.29,0.48,0.00,5.17,9.52,7.31,8.91,9.39,8.29,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
28,2026-08-21 09:50:56.861,2026-08-21 09:50:56.823,PC<->VR 状态同步,38.36,0.30,0.00,38.03,38.93,38.63,38.93,38.93,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-55262.604,5.453,19.4,6.409,6
29,2026-08-21 09:50:56.862,2026-08-21 09:50:56.860,MoCap→PC,6.12,0.44,0.00,5.17,9.52,7.31,8.88,9.39,6.12,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
30,2026-08-21 09:50:56.866,2026-08-21 09:50:56.849,EyeTracking→PC,17.29,0.59,0.00,2.31,22.28,8.51,21.62,22.14,17.29,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,25.6,6.409,6
31,2026-08-21 09:50:56.866,2026-08-21 09:50:56.859,EyeTracking→PC,7.33,0.58,0.00,2.31,22.28,8.10,21.57,22.14,7.33,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,25.8,6.409,6
32,2026-08-21 09:50:56.873,2026-08-21 09:50:56.871,MoCap→PC,7.76,0.44,0.00,5.17,9.52,7.31,8.86,9.39,7.76,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
33,2026-08-21 09:50:56.875,2026-08-21 09:50:56.870,EyeTracking→PC,4.82,0.59,0.00,2.31,22.28,7.68,21.53,22.13,4.82,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,34.2,6.409,6
34,2026-08-21 09:50:56.884,2026-08-21 09:50:56.882,MoCap→PC,8.48,0.44,0.00,5.17,9.52,7.32,8.84,9.39,8.48,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
35,2026-08-21 09:50:56.887,2026-08-21 09:50:56.880,EyeTracking→PC,6.78,0.58,0.00,2.31,22.28,7.50,21.48,22.12,6.78,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-55262.604,5.453,46.7,6.409,6
