序号,采集时间,发出时间,链路,延迟(毫秒),抖动(毫秒),丢包率(%),最小延迟,最大延迟,中位延迟,95百分位延迟,99百分位延迟,帧到达延迟,帧间隔（毫秒）,丢帧率(%),测量类型,时钟同步有效,时钟同步状态,时钟偏移(毫秒),同步RTT(毫秒),同步年龄(毫秒),偏移不确定度上界(毫秒),同步样本数
26,2026-08-14 21:49:57.327,2026-08-14 21:49:57.318,MoCap→PC,20.94,0.30,0.00,13.01,23.12,17.65,21.17,22.81,20.94,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
27,2026-08-14 21:49:57.328,2026-08-14 21:49:57.327,EyeTracking→PC,1.95,0.49,0.00,0.99,3.89,1.95,3.25,3.77,1.95,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,34.6,1.547,6
28,2026-08-14 21:49:57.336,2026-08-14 21:49:57.330,MoCap→PC,14.61,0.36,0.00,13.01,23.12,17.65,21.17,22.81,14.61,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
29,2026-08-14 21:49:57.339,2026-08-14 21:49:57.337,EyeTracking→PC,1.99,0.49,0.00,0.99,3.89,1.97,3.21,3.76,1.99,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,44.7,1.547,6
30,2026-08-14 21:49:57.349,2026-08-14 21:49:57.340,MoCap→PC,20.27,0.44,0.00,13.01,23.12,17.65,21.16,22.80,20.27,10.00,0.00,,false,,0.000,0.000,0.0,0.000,0
31,2026-08-14 21:49:57.349,2026-08-14 21:49:57.348,EyeTracking→PC,1.85,0.49,0.00,0.99,3.89,1.95,3.16,3.75,1.85,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,55.7,1.547,6
32,2026-08-14 21:49:57.359,2026-08-14 21:49:57.352,MoCap→PC,18.08,0.48,0.00,13.01,23.12,17.65,21.16,22.80,18.08,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
33,2026-08-14 21:49:57.360,2026-08-14 21:49:57.358,EyeTracking→PC,2.13,0.49,0.00,0.99,3.89,1.97,3.11,3.74,2.13,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,65.7,1.547,6
34,2026-08-14 21:49:57.370,2026-08-14 21:49:57.363,MoCap→PC,17.74,0.48,0.00,13.01,23.12,17.69,21.16,22.80,17.74,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
35,2026-08-14 21:49:57.370,2026-08-14 21:49:57.368,EyeTracking→PC,2.02,0.48,0.00,0.99,3.89,1.99,3.07,3.73,2.02,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,75.8,1.547,6
36,2026-08-14 21:49:57.381,2026-08-14 21:49:57.374,MoCap→PC,16.63,0.48,0.00,13.01,23.12,17.65,21.15,22.79,16.63,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
37,2026-08-14 21:49:57.380,2026-08-14 21:49:57.379,EyeTracking→PC,1.63,0.48,0.00,0.99,3.89,1.97,3.02,3.72,1.63,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,86.8,1.547,6
38,2026-08-14 21:49:57.390,2026-08-14 21:49:57.389,EyeTracking→PC,1.66,0.46,0.00,0.99,3.89,1.95,2.98,3.71,1.66,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,96.9,1.547,6
39,2026-08-14 21:49:57.391,2026-08-14 21:49:57.385,MoCap→PC,14.85,0.44,0.00,13.01,23.12,17.65,21.15,22.79,14.85,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
40,2026-08-14 21:49:57.400,2026-08-14 21:49:57.399,EyeTracking→PC,1.75,0.46,0.00,0.99,3.89,1.95,2.96,3.70,1.75,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,107.9,1.547,6
41,2026-08-14 21:49:57.404,2026-08-14 21:49:57.396,MoCap→PC,16.96,0.44,0.00,13.01,23.12,17.65,21.14,22.78,16.96,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
42,2026-08-14 21:49:57.411,2026-08-14 21:49:57.410,EyeTracking→PC,1.37,0.48,0.00,0.99,3.89,1.95,2.94,3.69,1.37,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,118.6,1.547,6
43,2026-08-14 21:49:57.414,2026-08-14 21:49:57.407,MoCap→PC,17.16,0.44,0.00,13.01,23.12,17.62,21.14,22.78,17.16,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
44,2026-08-14 21:49:57.421,2026-08-14 21:49:57.420,EyeTracking→PC,1.79,0.48,0.00,0.99,3.89,1.94,2.92,3.68,1.79,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,128.2,1.547,6
45,2026-08-14 21:49:57.427,2026-08-14 21:49:57.419,MoCap→PC,18.64,0.48,0.00,13.01,23.12,17.65,21.13,22.77,18.64,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
46,2026-08-14 21:49:57.432,2026-08-14 21:49:57.430,EyeTracking→PC,2.06,0.46,0.00,0.99,3.89,1.95,2.90,3.67,2.06,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,10.4,1.547,7
47,2026-08-14 21:49:57.438,2026-08-14 21:49:57.430,MoCap→PC,18.96,0.48,0.00,13.01,23.12,17.65,21.13,22.77,18.96,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
48,2026-08-14 21:49:57.442,2026-08-14 21:49:57.441,EyeTracking→PC,1.44,0.48,0.00,0.99,3.89,1.94,2.88,3.67,1.44,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,20.3,1.547,7
49,2026-08-14 21:49:57.449,2026-08-14 21:49:57.441,MoCap→PC,19.19,0.48,0.00,13.01,23.12,17.65,21.13,22.76,19.19,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
50,2026-08-14 21:49:57.462,2026-08-14 21:49:57.452,MoCap→PC,20.96,0.44,0.00,13.01,23.12,17.69,21.12,22.76,20.96,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
51,2026-08-14 21:49:57.461,2026-08-14 21:49:57.459,EyeTracking→PC,2.21,1.73,0.00,0.99,3.89,1.95,2.86,3.66,2.21,18.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,40.0,1.547,7
52,2026-08-14 21:49:57.469,2026-08-14 21:49:57.463,MoCap→PC,13.93,0.44,0.00,13.01,23.12,17.65,21.11,22.75,13.93,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
53,2026-08-14 21:49:57.471,2026-08-14 21:49:57.470,EyeTracking→PC,1.57,1.73,0.00,0.99,3.89,1.94,2.84,3.65,1.57,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,49.0,1.547,7
54,2026-08-14 21:49:57.480,2026-08-14 21:49:57.474,MoCap→PC,15.23,0.44,0.00,13.01,23.12,17.65,21.10,22.75,15.23,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
55,2026-08-14 21:49:57.481,2026-08-14 21:49:57.480,EyeTracking→PC,1.67,1.73,0.00,0.99,3.89,1.93,2.83,3.64,1.67,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,59.2,1.547,7
56,2026-08-14 21:49:57.492,2026-08-14 21:49:57.485,MoCap→PC,15.26,0.44,0.00,13.01,23.12,17.65,21.09,22.75,15.26,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
57,2026-08-14 21:49:57.491,2026-08-14 21:49:57.490,EyeTracking→PC,1.93,1.73,0.00,0.99,3.89,1.93,2.81,3.63,1.93,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,70.4,1.547,7
58,2026-08-14 21:49:57.502,2026-08-14 21:49:57.501,EyeTracking→PC,1.64,1.73,0.00,0.99,3.89,1.93,2.79,3.62,1.64,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,80.4,1.547,7
59,2026-08-14 21:49:57.504,2026-08-14 21:49:57.496,MoCap→PC,18.26,0.44,0.00,13.01,23.12,17.65,21.08,22.74,18.26,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
60,2026-08-14 21:49:57.512,2026-08-14 21:49:57.511,EyeTracking→PC,1.85,1.73,0.00,0.99,3.89,1.89,2.77,3.61,1.85,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,90.3,1.547,7
61,2026-08-14 21:49:57.518,2026-08-14 21:49:57.507,MoCap→PC,23.87,0.44,0.00,13.01,23.87,17.65,21.19,23.23,23.87,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
62,2026-08-14 21:49:57.523,2026-08-14 21:49:57.521,EyeTracking→PC,2.91,1.73,0.00,0.99,3.89,1.93,2.94,3.60,2.91,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,101.4,1.547,7
63,2026-08-14 21:49:57.526,2026-08-14 21:49:57.518,MoCap→PC,18.23,0.44,0.00,13.01,23.87,17.69,21.18,23.22,18.23,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
64,2026-08-14 21:49:57.533,2026-08-14 21:49:57.531,EyeTracking→PC,2.30,1.73,0.00,0.99,3.89,1.93,2.93,3.59,2.30,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,111.7,1.547,7
65,2026-08-14 21:49:57.538,2026-08-14 21:49:57.530,MoCap→PC,18.06,0.48,0.00,13.01,23.87,17.74,21.18,23.21,18.06,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
66,2026-08-14 21:49:57.540,2026-08-14 21:49:57.511,PC<->VR 状态同步,29.62,0.00,0.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,-1.00,Mirror RTT,true,Not required,-13654.025,2.661,117.1,1.547,7
67,2026-08-14 21:49:57.543,2026-08-14 21:49:57.542,EyeTracking→PC,1.47,1.73,0.00,0.99,3.89,1.93,2.93,3.58,1.47,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,0.4,1.459,8
68,2026-08-14 21:49:57.547,2026-08-14 21:49:57.541,MoCap→PC,15.03,0.48,0.00,13.01,23.87,17.69,21.17,23.21,15.03,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
69,2026-08-14 21:49:57.554,2026-08-14 21:49:57.552,EyeTracking→PC,2.11,1.73,0.00,0.99,3.89,1.93,2.93,3.57,2.11,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,10.9,1.459,8
70,2026-08-14 21:49:57.558,2026-08-14 21:49:57.551,MoCap→PC,17.11,0.50,0.00,13.01,23.87,17.65,21.17,23.20,17.11,10.00,0.00,,false,,0.000,0.000,0.0,0.000,0
71,2026-08-14 21:49:57.564,2026-08-14 21:49:57.562,EyeTracking→PC,2.11,1.73,0.00,0.99,3.89,1.93,2.92,3.56,2.11,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,21.0,1.459,8
72,2026-08-14 21:49:57.570,2026-08-14 21:49:57.563,MoCap→PC,15.25,0.48,0.00,13.01,23.87,17.65,21.16,23.19,15.25,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
73,2026-08-14 21:49:57.574,2026-08-14 21:49:57.573,EyeTracking→PC,1.28,1.73,0.00,0.99,3.89,1.93,2.92,3.55,1.28,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,31.0,1.459,8
74,2026-08-14 21:49:57.582,2026-08-14 21:49:57.574,MoCap→PC,18.56,0.44,0.00,13.01,23.87,17.65,21.16,23.18,18.56,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
75,2026-08-14 21:49:57.585,2026-08-14 21:49:57.583,EyeTracking→PC,2.09,1.73,0.00,0.99,3.89,1.93,2.92,3.55,2.09,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,42.1,1.459,8
76,2026-08-14 21:49:57.594,2026-08-14 21:49:57.585,MoCap→PC,20.25,0.44,0.00,13.01,23.87,17.69,21.16,23.18,20.25,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
77,2026-08-14 21:49:57.596,2026-08-14 21:49:57.593,EyeTracking→PC,3.30,1.73,0.00,0.99,3.89,1.94,2.99,3.66,3.30,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,52.9,1.459,8
78,2026-08-14 21:49:57.603,2026-08-14 21:49:57.596,MoCap→PC,16.82,0.44,0.00,13.01,23.87,17.65,21.15,23.17,16.82,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
79,2026-08-14 21:49:57.605,2026-08-14 21:49:57.604,EyeTracking→PC,0.99,1.73,0.00,0.99,3.89,1.93,2.98,3.66,0.99,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,62.0,1.459,8
80,2026-08-14 21:49:57.614,2026-08-14 21:49:57.607,MoCap→PC,16.61,0.44,0.00,13.01,23.87,17.65,21.15,23.16,16.61,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
81,2026-08-14 21:49:57.615,2026-08-14 21:49:57.614,EyeTracking→PC,1.70,1.73,0.00,0.99,3.89,1.93,2.97,3.65,1.70,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,73.3,1.459,8
82,2026-08-14 21:49:57.626,2026-08-14 21:49:57.624,EyeTracking→PC,2.25,1.73,0.00,0.99,3.89,1.93,2.97,3.64,2.25,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,83.1,1.459,8
83,2026-08-14 21:49:57.628,2026-08-14 21:49:57.618,MoCap→PC,20.67,0.44,0.00,13.01,23.87,17.65,21.14,23.15,20.67,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
84,2026-08-14 21:49:57.637,2026-08-14 21:49:57.630,MoCap→PC,15.94,0.48,0.00,13.01,23.87,17.65,21.14,23.15,15.94,12.00,0.00,,false,,0.000,0.000,0.0,0.000,0
85,2026-08-14 21:49:57.638,2026-08-14 21:49:57.635,EyeTracking→PC,3.44,1.73,0.00,0.99,3.89,1.94,3.25,3.70,3.44,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,96.0,1.459,8
86,2026-08-14 21:49:57.647,2026-08-14 21:49:57.645,EyeTracking→PC,2.75,1.73,0.00,0.99,3.89,1.95,3.23,3.69,2.75,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,105.2,1.459,8
87,2026-08-14 21:49:57.649,2026-08-14 21:49:57.641,MoCap→PC,20.40,0.44,0.00,13.01,23.87,17.65,21.13,23.14,20.40,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
88,2026-08-14 21:49:57.657,2026-08-14 21:49:57.655,EyeTracking→PC,2.10,1.73,0.00,0.99,3.89,1.95,3.22,3.69,2.10,10.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,114.7,1.459,8
89,2026-08-14 21:49:57.660,2026-08-14 21:49:57.652,MoCap→PC,18.64,0.44,0.00,13.01,23.87,17.69,21.13,23.13,18.64,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
90,2026-08-14 21:49:57.667,2026-08-14 21:49:57.666,EyeTracking→PC,1.47,0.48,0.00,0.99,3.89,1.95,3.20,3.69,1.47,11.00,0.00,Estimated VR->PC one-way delay,true,Ready,-13654.025,2.661,124.5,1.459,8
91,2026-08-14 21:49:57.669,2026-08-14 21:49:57.663,MoCap→PC,14.66,0.44,0.00,13.01,23.87,17.65,21.13,23.12,14.66,11.00,0.00,,false,,0.000,0.000,0.0,0.000,0
