participant,scene,link,scheme,samples_n,ready_n,ready_pct,clock_valid_n,clock_valid_pct,mapping_age_ms_available_n,mapping_age_ms_missing_or_negative_n,mapping_age_ms_median,mapping_age_ms_p95,mapping_age_ms_p99,mapping_age_ms_max,uncertainty_ms_available_n,uncertainty_ms_missing_or_negative_n,uncertainty_ms_median,uncertainty_ms_p95,uncertainty_ms_p99,uncertainty_ms_max,sync_rtt_ms_available_n,sync_rtt_ms_missing_or_negative_n,sync_rtt_ms_median,sync_rtt_ms_p95,sync_rtt_ms_p99,sync_rtt_ms_max
P2,supermarket,MoCap→VR,GC_filtered,26994,0,0.0000000000,0,0.0000000000,26994,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26994,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26994,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P2,supermarket,MoCap→VR,GC_retained,26994,0,0.0000000000,0,0.0000000000,26994,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26994,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26994,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P2,supermarket,PC<->VR 状态同步,GC_filtered,17189,0,0.0000000000,17189,100.0000000000,17189,0,4062.7000000000,8559.2000000000,8972.0240000000,9095.4000000000,17189,0,1.7910000000,1.8930000000,2.0710000000,2.1530000000,17189,0,3.4020000000,3.6680000000,3.6680000000,3.6680000000
P2,supermarket,PC<->VR 状态同步,GC_retained,17189,0,0.0000000000,17189,100.0000000000,17189,0,4062.7000000000,8559.2000000000,8972.0240000000,9095.4000000000,17189,0,1.7910000000,1.8930000000,2.0710000000,2.1530000000,17189,0,3.4020000000,3.6680000000,3.6680000000,3.6680000000
P2,street,EyeTracking→PC,GC_filtered,27227,27227,100.0000000000,27227,100.0000000000,27227,0,4091.3000000000,8569.5700000000,8963.0220000000,9091.8000000000,27227,0,1.8140000000,1.8950000000,2.2880000000,2.2880000000,27227,0,3.5010000000,3.6660000000,3.7290000000,3.9320000000
P2,street,EyeTracking→PC,GC_retained,28413,28413,100.0000000000,28413,100.0000000000,28413,0,4069.3000000000,8566.5800000000,8976.7640000000,9271.6000000000,28413,0,1.8140000000,1.8950000000,2.2880000000,2.2880000000,28413,0,3.5010000000,3.6660000000,3.7290000000,3.9320000000
P2,street,MoCap→PC,GC_filtered,25871,0,0.0000000000,0,0.0000000000,25871,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25871,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,25871,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P2,street,MoCap→PC,GC_retained,27000,0,0.0000000000,0,0.0000000000,27000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,27000,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P2,street,MoCap→VR,GC_filtered,26994,0,0.0000000000,0,0.0000000000,26994,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26994,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26994,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
P2,street,MoCap→VR,GC_retained,26994,0,0.0000000000,0,0.0000000000,26994,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26994,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000,26994,0,0.0000000000,0.0000000000,0.0000000000,0.0000000000
