frame,time_from_origin_s,centroid_x_m,centroid_y_m,centroid_z_m,valid
126,1.400000,-0.028910,0.863407,1.047767,1
127,1.411111,-0.028923,0.863393,1.047795,1
128,1.422222,-0.028837,0.863436,1.047802,1
129,1.433333,-0.028856,0.863403,1.047809,1
130,1.444444,-0.028824,0.863445,1.047803,1
131,1.455556,-0.028750,0.863463,1.047837,1
132,1.466667,-0.028659,0.863524,1.047856,1
133,1.477778,-0.028620,0.863500,1.047903,1
134,1.488889,-0.028573,0.863534,1.047917,1
135,1.500000,-0.028512,0.863566,1.047929,1
136,1.511111,-0.028450,0.863595,1.047944,1
137,1.522222,-0.028397,0.863635,1.047942,1
138,1.533333,-0.028332,0.863643,1.047923,1
139,1.544444,-0.028256,0.863659,1.047973,1
140,1.555556,-0.028202,0.863671,1.047983,1
141,1.566667,-0.028134,0.863713,1.048059,1
142,1.577778,-0.028026,0.863743,1.048081,1
143,1.588889,-0.027954,0.863778,1.048116,1
144,1.600000,-0.027855,0.863810,1.048162,1
145,1.611111,-0.027779,0.863835,1.048259,1
146,1.622222,-0.027705,0.863868,1.048324,1
147,1.633333,-0.027620,0.863871,1.048377,1
148,1.644444,-0.027577,0.863888,1.048469,1
149,1.655556,-0.027562,0.863905,1.048479,1
150,1.666667,-0.027437,0.863928,1.048532,1
151,1.677778,-0.027337,0.863913,1.048611,1
152,1.688889,-0.027255,0.863939,1.048676,1
153,1.700000,-0.027170,0.863950,1.048721,1
154,1.711111,-0.027106,0.863974,1.048777,1
155,1.722222,-0.026942,0.863979,1.048884,1
156,1.733333,-0.026869,0.863998,1.048986,1
157,1.744444,-0.026805,0.864005,1.049071,1
158,1.755556,-0.026677,0.863973,1.049132,1
159,1.766667,-0.026526,0.864000,1.049210,1
160,1.777778,-0.026455,0.863979,1.049288,1
161,1.788889,-0.026395,0.863955,1.049388,1
162,1.800000,-0.026273,0.863990,1.049482,1
163,1.811111,-0.026172,0.863961,1.049546,1
164,1.822222,-0.026045,0.863920,1.049628,1
165,1.833333,-0.025922,0.863903,1.049715,1
166,1.844444,-0.025796,0.863906,1.049834,1
167,1.855556,-0.025689,0.863912,1.049988,1
168,1.866667,-0.025587,0.863394,1.049741,1
169,1.877778,-0.025469,0.863404,1.049890,1
170,1.888889,-0.025384,0.863347,1.050046,1
171,1.900000,-0.025279,0.863343,1.050194,1
172,1.911111,-0.025160,0.863310,1.050302,1
173,1.922222,-0.025081,0.863313,1.050389,1
174,1.933333,-0.024963,0.863448,1.050619,1
175,1.944444,-0.024890,0.863504,1.050861,1
176,1.955556,-0.024816,0.863619,1.050991,1
177,1.966667,-0.024814,0.863675,1.051126,1
178,1.977778,-0.024770,0.863760,1.051287,1
179,1.988889,-0.024716,0.863779,1.051356,1
