序号,PC采集时间,PC时间戳(ms),录制相对时间(ms),Unity帧,网络对象ID,Quest位姿序号,PoseReadTime-QuestUnix(ms),PoseReadTime-PC时钟域(ms),PoseReadTime至PC观测延迟(ms),RenderPredicted-TrackingSpace位置X,RenderPredicted-TrackingSpace位置Y,RenderPredicted-TrackingSpace位置Z,RenderPredicted-TrackingSpace旋转X,RenderPredicted-TrackingSpace旋转Y,RenderPredicted-TrackingSpace旋转Z,RenderPredicted-Unity世界位置X,RenderPredicted-Unity世界位置Y,RenderPredicted-Unity世界位置Z,RenderPredicted-Unity世界旋转X,RenderPredicted-Unity世界旋转Y,RenderPredicted-Unity世界旋转Z,时钟同步有效,时钟同步状态,时钟偏移(ms),同步RTT(ms),同步年龄(ms),偏移不确定度上界(ms),同步样本数,RenderPredicted-TrackingSpace四元数X,RenderPredicted-TrackingSpace四元数Y,RenderPredicted-TrackingSpace四元数Z,RenderPredicted-TrackingSpace四元数W,RenderPredicted-Unity世界四元数X,RenderPredicted-Unity世界四元数Y,RenderPredicted-Unity世界四元数Z,RenderPredicted-Unity世界四元数W,PoseReadTime-OVR单调时钟(s),RawPoseSampleTime-OVR单调时钟(s),RawPoseSampleTime-QuestUnix估算(ms),PredictedDisplayTime代理-OVR单调时钟(s),PredictedDisplayTime代理-QuestUnix估算(ms),PredictionHorizon(ms),RawSampleAge(ms),QuestUnity帧,Quest采样阶段,RawPose有效,RenderPoseTime有效,Raw-TrackingSpace位置X,Raw-TrackingSpace位置Y,Raw-TrackingSpace位置Z,Raw-TrackingSpace四元数X,Raw-TrackingSpace四元数Y,Raw-TrackingSpace四元数Z,Raw-TrackingSpace四元数W,Raw-Unity世界位置X,Raw-Unity世界位置Y,Raw-Unity世界位置Z,Raw-Unity世界四元数X,Raw-Unity世界四元数Y,Raw-Unity世界四元数Z,Raw-Unity世界四元数W
1,2026-08-29 17:31:01.288,1787995861287.580,74.906,27229,9,6371,1787995923435.920,,,0.325990,1.132406,0.177478,333.392639,101.361137,11.288492,0.559981,1.132406,0.862803,333.392639,195.520157,11.288492,false,Unsynced,0.000,,,,0,0.07105688,-0.7635548,-0.237804875,-0.5961407,-0.125755861,-0.9565212,-0.213975951,0.153189182,29575.447818247,,,29575.493890877,1787995923481.990,46.073,,4711,Update,false,true,,,,,,,,,,,,,,
2,2026-08-29 17:31:01.317,1787995861317.830,105.153,27230,9,6375,1787995923470.420,,,0.325787,1.132389,0.177301,333.439178,101.476578,11.253873,0.559819,1.132389,0.863019,333.439178,195.635590,11.253874,false,Collecting,62297.723,3.788,19.6,1.894,1,0.07079204,-0.764181,-0.237397656,-0.5955318,-0.125638008,-0.9565018,-0.2135047,0.15406242,29575.482322365,,,29575.535655782,1787995923523.760,53.333,,4713,Update,false,true,,,,,,,,,,,,,,
3,2026-08-29 17:31:01.342,1787995861341.410,128.735,27231,9,6389,1787995923594.710,,,0.324644,1.132725,0.177204,333.330475,101.582787,11.216925,0.559806,1.132725,0.864165,333.330475,195.741806,11.216924,false,Collecting,62297.723,3.788,43.2,1.894,1,0.0714159,-0.764598548,-0.237969786,-0.5946925,-0.125632137,-0.9561715,-0.214351147,0.154939651,29575.606603471,,,29575.660958767,1787995923649.060,54.355,,4720,Update,false,true,,,,,,,,,,,,,,
4,2026-08-29 17:31:01.362,1787995861361.630,148.953,27232,9,6393,1787995923630.420,,,0.324267,1.132784,0.177231,333.284821,101.577492,11.185899,0.559859,1.132784,0.864539,333.284821,195.736496,11.185899,false,Collecting,62297.723,3.788,63.4,1.894,1,0.07188476,-0.7645046,-0.238098711,-0.594705164,-0.125407279,-0.9561168,-0.2147823,0.154862285,29575.642317329,,,29575.688806837,1787995923676.910,46.490,,4722,Update,false,true,,,,,,,,,,,,,,
5,2026-08-29 17:31:01.377,1787995861377.830,165.153,27233,9,6395,1787995923647.460,,,0.324059,1.132790,0.177270,333.253113,101.577576,11.161830,0.559914,1.132790,0.864744,333.253113,195.736603,11.161829,false,Collecting,62297.723,3.788,79.6,1.894,1,0.0722193,-0.7644572,-0.238177463,-0.5946941,-0.125237122,-0.9560764,-0.215080917,0.154835135,29575.659360403,,,29575.702726728,1787995923690.830,43.366,,4723,Update,false,true,,,,,,,,,,,,,,
6,2026-08-29 17:31:01.394,1787995861394.580,181.906,27234,9,6397,1787995923664.780,,,0.323685,1.132848,0.177330,333.205994,101.589279,11.110288,0.560000,1.132848,0.865112,333.205994,195.748291,11.110287,false,Collecting,62297.723,3.788,96.3,1.894,1,0.0727977753,-0.7644364,-0.2382202,-0.594633162,-0.124874488,-0.9560176,-0.215533629,0.15486142,29575.676678166,,,29575.730571106,1787995923718.670,53.893,,4724,Update,false,true,,,,,,,,,,,,,,
7,2026-08-29 17:31:01.411,1787995861410.610,197.932,27235,9,6399,1787995923682.620,,,0.323481,1.132890,0.177384,333.187408,101.591362,11.081455,0.560070,1.132890,0.865312,333.187408,195.750366,11.081457,false,Collecting,62297.723,3.788,112.4,1.894,1,0.07308774,-0.764409542,-0.238191158,-0.5946438,-0.124655761,-0.9560071,-0.2157262,0.154834479,29575.694514626,,,29575.744490026,1787995923732.590,49.975,,4725,Update,false,true,,,,,,,,,,,,,,
8,2026-08-29 17:31:01.437,1787995861437.410,224.738,27236,9,6401,1787995923700.800,,,0.323287,1.132944,0.177429,333.162048,101.577667,11.069758,0.560128,1.132944,0.865502,333.162048,195.736694,11.069757,false,Collecting,62297.723,3.788,139.2,1.894,1,0.07333353,-0.7643046,-0.238284647,-0.594710946,-0.124556839,-0.955984831,-0.215969861,0.1547119,29575.712696919,,,29575.758418739,1787995923746.520,45.722,,4726,Update,false,true,,,,,,,,,,,,,,
9,2026-08-29 17:31:01.453,1787995861453.620,240.949,27237,9,6403,1787995923716.650,,,0.323096,1.133048,0.177475,333.136688,101.582573,11.059957,0.560188,1.133048,0.865689,333.136688,195.741592,11.059955,false,Collecting,62297.638,3.819,11.9,1.925,2,0.07352799,-0.764297247,-0.238399774,-0.5946503,-0.124508724,-0.9559354,-0.216190666,0.154747814,29575.728551139,,,29575.772337212,1787995923760.440,43.786,,4727,Update,false,true,,,,,,,,,,,,,,
10,2026-08-29 17:31:01.470,1787995861470.450,257.779,27238,9,6405,1787995923734.750,,,0.322718,1.133281,0.177559,333.067017,101.582909,11.047114,0.560299,1.133281,0.866060,333.067017,195.741928,11.047114,false,Collecting,62297.638,3.819,28.8,1.925,2,0.0739956,-0.7642177,-0.238780871,-0.5945416,-0.12446937,-0.9558016,-0.216792613,0.15476355,29575.746652704,,,29575.800179924,1787995923788.280,53.527,,4728,Update,false,true,,,,,,,,,,,,,,
11,2026-08-29 17:31:01.487,1787995861487.620,274.945,27239,9,6407,1787995923752.910,,,0.322564,1.133414,0.177601,333.050812,101.551712,11.057861,0.560352,1.133414,0.866211,333.050812,195.710724,11.057862,false,Collecting,62297.638,3.819,45.9,1.925,2,0.07407799,-0.7640457,-0.238920569,-0.5946963,-0.124515563,-0.9557978,-0.216948077,0.154532284,29575.764813643,,,29575.814103071,1787995923802.200,49.289,,4729,Update,false,true,,,,,,,,,,,,,,
12,2026-08-29 17:31:01.504,1787995861505.030,292.355,27240,9,6409,1787995923770.880,,,0.322494,1.133421,0.177674,333.061798,101.533699,11.063725,0.560430,1.133421,0.866276,333.061798,195.692719,11.063725,false,Collecting,62297.638,3.819,63.4,1.925,2,0.07401604,-0.7639675,-0.2388688,-0.594825149,-0.12451984,-0.9558389,-0.216867447,0.1543873,29575.782779478,,,29575.828026009,1787995923816.130,45.247,,4730,Update,false,true,,,,,,,,,,,,,,
13,2026-08-29 17:31:01.521,1787995861521.620,308.942,27241,9,6411,1787995923787.600,,,0.322355,1.133366,0.177737,333.089966,101.494247,11.091278,0.560503,1.133366,0.866410,333.089966,195.653275,11.091277,false,Collecting,62297.638,3.819,79.9,1.925,2,0.07375988,-0.76381,-0.238805711,-0.5950846,-0.124648072,-0.95592165,-0.216636911,0.1540952,29575.799501928,,,29575.841955492,1787995923830.060,42.454,,4731,Update,false,true,,,,,,,,,,,,,,
14,2026-08-29 17:31:01.558,1787995861558.300,345.628,27243,9,6415,1787995923824.000,,,0.321706,1.133273,0.177914,333.159668,101.393364,11.105829,0.560727,1.133273,0.867043,333.159668,195.552368,11.105833,false,Collecting,62297.638,3.819,116.6,1.925,2,0.0734895,-0.7633677,-0.238369241,-0.5958599,-0.124512583,-0.9561882,-0.216141686,0.153243363,29575.835897140,,,29575.883713473,1787995923871.810,47.816,,4733,Update,false,true,,,,,,,,,,,,,,
15,2026-08-29 17:31:01.590,1787995861590.520,377.846,27245,9,6419,1787995923859.410,,,0.320986,1.133010,0.178073,333.275421,101.329964,11.133221,0.560937,1.133010,0.867750,333.275421,195.488983,11.133222,false,Collecting,62297.723,3.850,26.0,2.749,3,0.0728014559,-0.7631752,-0.237728924,-0.5964466,-0.124512225,-0.9564867,-0.21520178,0.1527029,29575.871307925,,,29575.925483075,1787995923913.590,54.175,,4735,Update,false,true,,,,,,,,,,,,,,
16,2026-08-29 17:31:01.606,1787995861606.310,393.640,27246,9,6421,1787995923876.300,,,0.320676,1.132902,0.178109,333.337158,101.282486,11.198698,0.560996,1.132902,0.868057,333.337128,195.441513,11.198698,false,Collecting,62297.723,3.850,41.8,2.749,3,0.072123915,-0.7630328,-0.2376442,-0.5967447,-0.124911562,-0.956608057,-0.214647919,0.1523956,29575.888201989,,,29575.939402689,1787995923927.500,51.201,,4736,Update,false,true,,,,,,,,,,,,,,
17,2026-08-29 17:31:01.623,1787995861623.280,410.605,27247,9,6423,1787995923895.450,,,0.320352,1.132869,0.178127,333.369751,101.232986,11.260660,0.561037,1.132869,0.868379,333.369751,195.391998,11.260660,false,Collecting,62297.723,3.850,58.8,2.749,3,0.0716342,-0.7628471,-0.237726822,-0.597008169,-0.125305563,-0.9566745,-0.214345574,0.152080238,29575.907345949,,,29575.953330819,1787995923941.430,45.985,,4737,Update,false,true,,,,,,,,,,,,,,
18,2026-08-29 17:31:01.658,1787995861659.310,446.633,27249,9,6425,1787995923915.210,,,0.319772,1.132869,0.178128,333.428314,101.218102,11.277244,0.561080,1.132869,0.868957,333.428314,195.377121,11.277243,false,Collecting,62297.723,3.850,94.8,2.749,3,0.07123171,-0.7628393,-0.237428814,-0.5971848,-0.125361413,-0.956798553,-0.21384789,0.151954263,29575.927106420,,,29575.981169985,1787995923969.270,54.064,,4738,Update,false,true,,,,,,,,,,,,,,
19,2026-08-29 17:31:01.675,1787995861675.500,462.832,27250,9,6427,1787995923933.070,,,0.319347,1.133080,0.178005,333.441925,101.240959,11.229259,0.560988,1.133080,0.869390,333.441925,195.399979,11.229259,false,Collecting,62297.723,3.850,111.0,2.749,3,0.07142875,-0.762942433,-0.237105757,-0.5971581,-0.124990657,-0.9568492,-0.213772178,0.152047962,29575.944971005,,,29575.995098515,1787995923983.200,50.128,,4739,Update,false,true,,,,,,,,,,,,,,
20,2026-08-29 17:31:01.692,1787995861692.120,479.446,27251,9,6429,1787995923956.780,,,0.318670,1.133218,0.177911,333.453308,101.264183,11.183864,0.560943,1.133218,0.870072,333.453339,195.423187,11.183865,false,Collecting,62297.723,3.850,127.6,2.749,3,0.0716202,-0.763046563,-0.23681064,-0.597119033,-0.124644175,-0.956891537,-0.213711411,0.15215078,29575.968682153,,,29576.022938168,1787995924011.040,54.256,,4740,Update,false,true,,,,,,,,,,,,,,
21,2026-08-29 17:31:01.708,1787995861708.480,495.807,27252,9,6431,1787995923974.730,,,0.318389,1.133312,0.177839,333.485962,101.304230,11.147303,0.560892,1.133312,0.870357,333.485962,195.463242,11.147305,false,Collecting,62297.857,4.024,11.3,2.749,4,0.07160117,-0.7632656,-0.236435965,-0.59698987,-0.124382764,-0.956946135,-0.213442326,0.152399123,29575.986626999,,,29576.036872021,1787995924024.970,50.245,,4741,Update,false,true,,,,,,,,,,,,,,
22,2026-08-29 17:31:01.726,1787995861725.830,513.153,27253,9,6433,1787995923998.860,,,0.317931,1.133604,0.177727,333.480164,101.312531,11.074121,0.560814,1.133604,0.870822,333.480164,195.471542,11.074120,false,Collecting,62297.857,4.024,28.6,2.749,4,0.0721033663,-0.7632571,-0.236097,-0.597074449,-0.123792544,-0.9570023,-0.213579252,0.152335286,29576.010757105,,,29576.064709803,1787995924052.810,53.953,,4742,Update,false,true,,,,,,,,,,,,,,
23,2026-08-29 17:31:01.746,1787995861746.000,533.329,27254,9,6435,1787995924016.420,,,0.317774,1.133605,0.177716,333.459869,101.297775,11.021087,0.560814,1.133605,0.870980,333.459869,195.456787,11.021089,false,Collecting,62297.857,4.024,48.8,2.749,4,0.07259883,-0.763125956,-0.235941589,-0.5972435,-0.123341337,-0.957036734,-0.213836253,0.152124137,29576.028317211,,,29576.078628238,1787995924066.730,50.311,,4743,Update,false,true,,,,,,,,,,,,,,
24,2026-08-29 17:31:01.763,1787995861763.060,550.385,27255,9,6437,1787995924034.050,,,0.317551,1.133505,0.177835,333.475830,101.292603,10.942708,0.560949,1.133505,0.871194,333.475830,195.451614,10.942709,false,Collecting,62297.857,4.024,65.9,2.749,4,0.07304345,-0.7630655,-0.235427245,-0.5974694,-0.122661911,-0.95716095,-0.213811576,0.15192607,29576.045957734,,,29576.092549166,1787995924080.650,46.591,,4744,Update,false,true,,,,,,,,,,,,,,
25,2026-08-29 17:31:01.814,1787995861814.270,601.593,27257,9,6439,1787995924054.150,,,0.317033,1.133577,0.177846,333.514221,101.213196,10.917748,0.560997,1.133577,0.871710,333.514221,195.372208,10.917748,false,Collecting,62297.857,4.024,117.1,2.749,4,0.07316107,-0.762674749,-0.235000134,-0.598121762,-0.122269034,-0.957372665,-0.213606864,0.151195675,29576.066048256,,,29576.120392332,1787995924108.490,54.344,,4745,Update,false,true,,,,,,,,,,,,,,
26,2026-08-29 17:31:01.833,1787995861833.240,620.569,27258,9,6441,1787995924081.060,1787995861783.330,49.907,0.316883,1.133455,0.178142,333.544434,101.026855,11.073792,0.561304,1.133455,0.871838,333.544434,195.185883,11.073791,true,Ready,62297.723,4.037,13.7,2.749,5,0.07233882,-0.7618312,-0.235503316,-0.599098,-0.123197451,-0.957513154,-0.21334739,0.1499131,29576.092955186,,,29576.134319205,1787995924122.420,41.364,,4746,Update,false,true,,,,,,,,,,,,,,
27,2026-08-29 17:31:01.853,1787995861853.950,641.272,27259,9,6443,1787995924090.320,1787995861792.590,61.351,0.316680,1.133434,0.178338,333.568848,100.924767,11.130912,0.561514,1.133434,0.872026,333.568848,195.083801,11.130910,true,Ready,62297.723,4.037,34.4,2.749,5,0.0720341355,-0.7613579,-0.235581622,-0.599705458,-0.123462275,-0.957635641,-0.213177592,0.149152845,29576.102217114,,,29576.148237448,1787995924136.340,46.020,,4747,Update,false,true,,,,,,,,,,,,,,
28,2026-08-29 17:31:01.871,1787995861871.410,658.741,27260,9,6447,1787995924127.750,1787995861830.030,41.389,0.315890,1.133626,0.179693,333.665741,100.530228,11.300793,0.562923,1.133626,0.872715,333.665741,194.689255,11.300793,true,Ready,62297.723,4.037,51.9,2.749,5,0.0711807,-0.759491563,-0.235606924,-0.6021588,-0.124061987,-0.958161235,-0.212569863,0.146115452,29576.139650295,,,29576.190008113,1787995924178.110,50.358,,4749,Update,false,true,,,,,,,,,,,,,,
29,2026-08-29 17:31:01.888,1787995861887.580,674.909,27261,9,6449,1787995924145.080,1787995861847.360,40.224,0.315441,1.133858,0.180051,333.738556,100.315849,11.429050,0.563313,1.133858,0.873138,333.738556,194.474869,11.429049,true,Ready,62297.723,4.037,68.1,2.749,5,0.0703669861,-0.7585144,-0.235685229,-0.6034542,-0.124673456,-0.9584445,-0.2120273,0.14451775,29576.156980661,,,29576.203927078,1787995924192.030,46.946,,4750,Update,false,true,,,,,,,,,,,,,,
30,2026-08-29 17:31:01.903,1787995861903.240,690.564,27262,9,6451,1787995924166.030,1787995861868.310,34.928,0.314688,1.134304,0.180807,333.867126,99.906120,11.686065,0.564121,1.134304,0.873833,333.867126,194.065140,11.686064,true,Ready,62297.723,4.037,83.7,2.749,5,0.068793416,-0.756631732,-0.235975564,-0.605880737,-0.125957638,-0.9589394,-0.211072683,0.141486645,29576.177929622,,,29576.231772267,1787995924219.870,53.843,,4751,Update,false,true,,,,,,,,,,,,,,
31,2026-08-29 17:31:01.919,1787995861918.330,705.658,27263,9,6453,1787995924183.700,1787995861885.970,32.358,0.314061,1.134528,0.181231,333.967316,99.639488,11.845177,0.564589,1.134528,0.874428,333.967285,193.798508,11.845175,true,Ready,62297.723,4.037,98.8,2.749,5,0.06773148,-0.755408645,-0.236024231,-0.6075054,-0.126716435,-0.9592962,-0.210328177,0.139484614,29576.195595353,,,29576.245697086,1787995924233.800,50.102,,4752,Update,false,true,,,,,,,,,,,,,,
32,2026-08-29 17:31:01.935,1787995861935.490,722.813,27264,9,6455,1787995924202.270,1787995861904.540,30.942,0.313283,1.134758,0.181561,334.077026,99.412880,11.917451,0.564975,1.134758,0.875180,334.077026,193.571899,11.917451,true,Ready,62297.723,4.037,116.0,2.749,5,0.06710518,-0.754349351,-0.235580474,-0.6090615,-0.126817971,-0.9597143,-0.209567338,0.137649179,29576.214164625,,,29576.259615887,1787995924247.720,45.451,,4753,Update,false,true,,,,,,,,,,,,,,
33,2026-08-29 17:31:01.956,1787995861956.080,743.406,27265,9,6457,1787995924221.600,1787995861923.940,32.138,0.311450,1.135352,0.182295,334.291809,99.013458,12.070497,0.565840,1.135352,0.876955,334.291809,193.172470,12.070498,true,Ready,62297.657,3.850,16.8,2.099,6,0.06570796,-0.752503753,-0.234808832,-0.6117887,-0.127204388,-0.960454643,-0.20801869,0.134440452,29576.233495252,,,29576.287471355,1787995924275.570,53.976,,4754,Update,false,true,,,,,,,,,,,,,,
34,2026-08-29 17:31:01.972,1787995861972.790,760.118,27266,9,6459,1787995924239.390,1787995861941.740,31.053,0.310023,1.135756,0.182689,334.360138,98.816734,12.157135,0.566337,1.135756,0.878350,334.360138,192.975754,12.157137,true,Ready,62297.657,3.850,33.5,2.099,6,0.0651559755,-0.7515622,-0.23472926,-0.613034546,-0.127522,-0.9607258,-0.207560271,0.132902563,29576.251294108,,,29576.301384168,1787995924289.480,50.090,,4755,Update,false,true,,,,,,,,,,,,,,
35,2026-08-29 17:31:01.988,1787995861989.160,776.487,27267,9,6461,1787995924262.780,1787995861965.120,24.039,0.306917,1.136587,0.183378,334.412506,98.354134,12.366214,0.567249,1.136587,0.881397,334.412506,192.513153,12.366217,true,Ready,62297.657,3.850,49.9,2.099,6,0.06443826,-0.7492454,-0.2352598,-0.615736842,-0.128399283,-0.961127043,-0.207395986,0.1293658,29576.274680777,,,29576.329230668,1787995924317.330,54.550,,4756,Update,false,true,,,,,,,,,,,,,,
36,2026-08-29 17:31:02.021,1787995862021.490,808.816,27269,9,6463,1787995924281.320,1787995861983.660,37.826,0.304830,1.136857,0.183729,334.387512,98.135880,12.415418,0.567750,1.136857,0.883453,334.387512,192.294891,12.415420,true,Ready,62297.657,3.850,82.2,2.099,6,0.06470763,-0.748077869,-0.235558107,-0.6170129,-0.128434286,-0.9612664,-0.2077964,0.1276418,29576.293218852,,,29576.343153079,1787995924331.250,49.934,,4757,Update,false,true,,,,,,,,,,,,,,
37,2026-08-29 17:31:02.048,1787995862048.860,836.185,27270,9,6465,1787995924297.890,1787995862000.240,48.622,0.302472,1.136972,0.183938,334.451355,97.935799,12.459435,0.568129,1.136972,0.885791,334.451355,192.094803,12.459435,true,Ready,62297.657,3.850,109.6,2.099,6,0.06446724,-0.7470781,-0.235283613,-0.6183526,-0.128396973,-0.9615667,-0.207433417,0.125997365,29576.309793177,,,29576.357072644,1787995924345.170,47.279,,4758,Update,false,true,,,,,,,,,,,,,,
38,2026-08-29 17:31:02.064,1787995862065.030,852.361,27271,9,6469,1787995924336.240,1787995862038.580,26.449,0.294134,1.137455,0.184599,334.782532,97.462532,12.523885,0.569393,1.137455,0.894058,334.782532,191.621552,12.523887,true,Ready,62297.657,3.850,125.8,2.099,6,0.06311887,-0.7448262,-0.23330383,-0.621947944,-0.1278654,-0.962666,-0.205097809,0.1218999,29576.348139951,,,29576.398838391,1787995924386.940,50.698,,4760,Update,false,true,,,,,,,,,,,,,,
39,2026-08-29 17:31:02.103,1787995862104.020,891.347,27273,9,6473,1787995924374.980,1787995862077.380,26.645,0.283500,1.137781,0.185431,334.959381,96.837570,12.690090,0.570995,1.137781,0.904604,334.959381,190.996597,12.690092,true,Ready,62297.601,3.788,34.0,2.019,7,0.0622936375,-0.7416549,-0.232768744,-0.6260082,-0.12803553,-0.9634797,-0.204129115,0.116812617,29576.386875840,,,29576.440616244,1787995924428.720,53.740,,4762,Update,false,true,,,,,,,,,,,,,,
40,2026-08-29 17:31:02.137,1787995862136.950,924.275,27275,9,6477,1787995924410.630,1787995862113.030,23.915,0.275101,1.137823,0.186099,335.067139,96.107475,12.802385,0.572270,1.137823,0.912932,335.067139,190.266495,12.802387,true,Ready,62297.601,3.788,66.9,2.019,7,0.0624257326,-0.7377955,-0.23232162,-0.630704045,-0.127618149,-0.964290261,-0.203921363,0.110788584,29576.422531209,,,29576.468452947,1787995924456.560,45.922,,4764,Update,false,true,,,,,,,,,,,,,,
41,2026-08-29 17:31:02.172,1787995862172.670,959.992,27277,9,6479,1787995924430.450,1787995862132.850,39.813,0.266494,1.137851,0.186636,335.229401,95.219917,12.899172,0.573430,1.137851,0.921478,335.229370,189.378937,12.899172,true,Ready,62297.601,3.788,102.7,2.019,7,0.06265264,-0.7330612,-0.231376857,-0.6365224,-0.126771763,-0.9653271,-0.203444168,0.103359461,29576.442352200,,,29576.496294847,1787995924484.400,53.943,,4765,Update,false,true,,,,,,,,,,,,,,
42,2026-08-29 17:31:02.188,1787995862189.670,977.000,27278,9,6481,1787995924448.550,1787995862150.950,38.727,0.262058,1.137815,0.186788,335.365448,94.543304,12.889425,0.573903,1.137815,0.925891,335.365448,188.702316,12.889426,true,Ready,62297.601,3.788,119.7,2.019,7,0.06327678,-0.7293816,-0.230121076,-0.6411262,-0.125427127,-0.9661927,-0.203046054,0.0975298,29576.460448348,,,29576.510224037,1787995924498.320,49.776,,4766,Update,false,true,,,,,,,,,,,,,,
43,2026-08-29 17:31:02.207,1787995862207.380,994.707,27279,9,6483,1787995924467.560,1787995862169.960,37.424,0.257609,1.137699,0.187075,335.530731,93.847122,12.735082,0.574512,1.137699,0.930307,335.530701,188.006134,12.735081,true,Ready,62297.601,3.787,14.5,1.925,8,0.06466936,-0.725501239,-0.227862909,-0.6461767,-0.122825161,-0.967248738,-0.202528059,0.09124893,29576.479454287,,,29576.524140529,1787995924512.240,44.686,,4767,Update,false,true,,,,,,,,,,,,,,
44,2026-08-29 17:31:02.223,1787995862223.870,1011.198,27280,9,6485,1787995924486.170,1787995862188.570,35.304,0.248646,1.137327,0.187554,335.925140,92.495415,12.478924,0.575640,1.137327,0.939212,335.925140,186.654434,12.478926,true,Ready,62297.601,3.787,31.0,1.925,8,0.0665869638,-0.7179431,-0.223258242,-0.655957162,-0.118147314,-0.969264,-0.200796619,0.07905376,29576.498066997,,,29576.551986054,1787995924540.090,53.919,,4768,Update,false,true,,,,,,,,,,,,,,
45,2026-08-29 17:31:02.240,1787995862239.610,1026.933,27281,9,6487,1787995924504.180,1787995862206.580,33.027,0.244241,1.136808,0.187663,336.243011,91.673767,12.252694,0.576068,1.136808,0.943598,336.243011,185.832779,12.252696,true,Ready,62297.601,3.787,46.7,1.925,8,0.06767014,-0.7132935,-0.219576657,-0.662132442,-0.114713669,-0.970619857,-0.199082732,0.07144359,29576.516076791,,,29576.565913953,1787995924554.020,49.837,,4769,Update,false,true,,,,,,,,,,,,,,
46,2026-08-29 17:31:02.256,1787995862256.690,1044.015,27282,9,6489,1787995924527.930,1787995862230.330,26.354,0.235378,1.135845,0.187447,336.727753,90.033775,12.074564,0.576496,1.135845,0.952453,336.727722,184.192780,12.074566,true,Ready,62297.601,3.787,63.8,1.925,8,0.0689241,-0.703932,-0.21469155,-0.673525631,-0.110282376,-0.972588062,-0.196674332,0.0568296,29576.539833252,,,29576.593756028,1787995924581.860,53.923,,4770,Update,false,true,,,,,,,,,,,,,,
47,2026-08-29 17:31:02.274,1787995862274.850,1062.177,27283,9,6491,1787995924546.020,1787995862248.420,26.432,0.230877,1.135140,0.186867,336.943573,89.093697,12.094748,0.576243,1.135140,0.956985,336.943573,183.252701,12.094748,true,Ready,62297.601,3.787,82.0,1.925,8,0.0692244843,-0.6985206,-0.212979838,-0.6796444,-0.108824328,-0.9733838,-0.19572866,0.0487000644,29576.557917420,,,29576.607681756,1787995924595.780,49.764,,4771,Update,false,true,,,,,,,,,,,,,,
48,2026-08-29 17:31:02.290,1787995862290.150,1077.477,27284,9,6493,1787995924563.920,1787995862266.320,23.831,0.226173,1.134427,0.186131,337.245483,88.248657,12.056084,0.575850,1.134427,0.961729,337.245483,182.407669,12.056083,true,Ready,62297.601,3.787,97.3,1.925,8,0.06914546,-0.6936333,-0.210483983,-0.685411,-0.107050426,-0.97427845,-0.193971172,0.04119417,29576.575822578,,,29576.621599228,1787995924609.700,45.777,,4772,Update,false,true,,,,,,,,,,,,,,
49,2026-08-29 17:31:02.322,1787995862322.230,1109.561,27286,9,6495,1787995924583.530,1787995862285.920,36.310,0.216830,1.132805,0.184622,337.820190,86.775276,11.775468,0.575023,1.132805,0.971157,337.820190,180.934296,11.775465,true,Ready,62297.601,3.787,129.4,1.925,8,0.06989774,-0.6848864,-0.204588264,-0.6958366,-0.1022207,-0.9759567,-0.190507174,0.02768913,29576.595422945,,,29576.649443348,1787995924637.550,54.020,,4773,Update,false,true,,,,,,,,,,,,,,
50,2026-08-29 17:31:02.338,1787995862338.150,1125.474,27287,9,6497,1787995924601.200,1787995862303.600,34.548,0.211644,1.131970,0.183587,338.320709,86.145294,11.502444,0.574367,1.131970,0.976404,338.320709,180.304306,11.502444,true,Ready,62297.601,3.787,145.3,1.925,8,0.06947039,-0.681130052,-0.1996806,-0.700973153,-0.09891784,-0.9771601,-0.186852187,0.0214404762,29576.613098103,,,29576.663363898,1787995924651.470,50.266,,4774,Update,false,true,,,,,,,,,,,,,,
51,2026-08-29 17:31:02.356,1787995862356.960,1144.285,27288,9,6499,1787995924618.620,1787995862321.020,35.935,0.206397,1.130884,0.182560,338.846405,85.539871,11.254993,0.573723,1.130884,0.981712,338.846405,179.698898,11.254993,true,Ready,62297.601,3.787,164.1,1.925,8,0.06863731,-0.6775148,-0.194804117,-0.7059136,-0.09591411,-0.978316069,-0.18292132,0.0154286623,29576.630524823,,,29576.677308409,1787995924665.410,46.784,,4775,Update,false,true,,,,,,,,,,,,,,
52,2026-08-29 17:31:02.373,1787995862374.100,1161.432,27289,9,6501,1787995924639.530,1787995862341.930,32.177,0.195884,1.128233,0.180590,339.952911,84.143829,10.866007,0.572521,1.128233,0.992341,339.952911,178.302856,10.866006,true,Ready,62297.601,3.787,181.2,1.925,8,0.06614534,-0.669103861,-0.185312256,-0.7166479,-0.0906602144,-0.98044914,-0.174632654,0.001959473,29576.651426961,,,29576.705133486,1787995924693.240,53.707,,4776,Update,false,true,,,,,,,,,,,,,,
53,2026-08-29 17:31:02.392,1787995862391.950,1179.278,27290,9,6503,1787995924655.870,1787995862358.270,33.682,0.190258,1.126838,0.179581,340.699646,83.287300,10.840249,0.571922,1.126838,0.998024,340.699646,177.446320,10.840248,true,Ready,62297.601,3.787,199.1,1.925,8,0.0628314,-0.663996637,-0.180481732,-0.7229019,-0.0893795639,-0.981550932,-0.16891636,-0.006039381,29576.667768316,,,29576.719054175,1787995924707.160,51.286,,4777,Update,false,true,,,,,,,,,,,,,,
