scene,link,GC_filtered_median_ms_median,GC_filtered_median_ms_q1,GC_filtered_median_ms_q3,GC_filtered_p99_ms_median,GC_filtered_p99_ms_q1,GC_filtered_p99_ms_q3,GC_filtered_gt50_pct_median,GC_filtered_gt50_pct_q1,GC_filtered_gt50_pct_q3,GC_filtered_maximum_of_all_runs_ms,GC_filtered_retained_samples_n,GC_filtered_gt50_samples_n,GC_retained_median_ms_median,GC_retained_median_ms_q1,GC_retained_median_ms_q3,GC_retained_p99_ms_median,GC_retained_p99_ms_q1,GC_retained_p99_ms_q3,GC_retained_gt50_pct_median,GC_retained_gt50_pct_q1,GC_retained_gt50_pct_q3,GC_retained_maximum_of_all_runs_ms,GC_retained_retained_samples_n,GC_retained_gt50_samples_n,window_samples_n,invalid_all_n,gc_valid_excluded_n,gc_window_all_n,invalid_gc_overlap_n
supermarket,EyeTracking→PC,2.3050000000,2.2650000000,2.3775000000,5.6750000000,5.4271750000,7.4086750000,0.0000000000,0.0000000000,0.0053527459,84.3200000000,275993,277,2.3150000000,2.2800000000,2.3875000000,95.0860500000,34.8450500000,135.1687750000,1.3260590396,0.9465263618,1.9311941747,314.7100000000,285159,4012,285162,3,9166,9166,0
supermarket,MoCap→PC,7.4800000000,6.8150000000,8.0450000000,10.1400000000,9.5709000000,18.2452500000,0.0000000000,0.0000000000,0.0000000000,41.2100000000,259993,0,7.5000000000,6.8300000000,8.0500000000,106.7405000000,52.1244500000,150.0027000000,1.3874329024,1.0105256110,1.8402353908,328.9500000000,268670,3726,268670,0,8677,8677,0
supermarket,MoCap→VR,10.2750000000,9.8350000000,10.9025000000,20.5050000000,19.6890000000,24.7925000000,0.0000000000,0.0000000000,0.0027937123,167.8800000000,268575,126,10.2750000000,9.8350000000,10.9025000000,20.5050000000,19.6890000000,24.7925000000,0.0000000000,0.0000000000,0.0027937123,167.8800000000,268575,126,268575,0,0,0,0
supermarket,PC<->VR 状态同步,31.3150000000,31.1625000000,31.7050000000,40.4600000000,39.8699250000,41.1179000000,0.0000000000,0.0000000000,0.0000000000,51.3600000000,162345,7,31.3150000000,31.1625000000,31.7050000000,40.4600000000,39.8699250000,41.1179000000,0.0000000000,0.0000000000,0.0000000000,51.3600000000,162345,7,162345,0,0,0,0
street,EyeTracking→PC,2.3400000000,2.3000000000,2.3925000000,5.8816500000,5.4650000000,6.4925000000,0.0000000000,0.0000000000,0.1323512302,133.2800000000,278710,315,2.3500000000,2.3025000000,2.4025000000,88.6851000000,58.2156500000,108.4688250000,1.2720153552,1.0410065703,1.6410753431,309.0100000000,287404,3786,287408,4,8694,8694,0
street,MoCap→PC,7.4725000000,7.2500000000,8.1225000000,10.4672500000,9.9800000000,11.8030750000,0.0000000000,0.0000000000,0.0000000000,35.6300000000,260878,0,7.4900000000,7.2625000000,8.1350000000,95.6681500000,44.3153000000,119.8266250000,1.2444444444,1.0018261326,1.5415844378,318.1900000000,269056,3485,269056,0,8178,8178,0
street,MoCap→VR,10.2950000000,10.1125000000,10.9900000000,19.9761000000,18.4783000000,20.5403500000,0.0000000000,0.0000000000,0.0250055568,267.8000000000,268967,193,10.2950000000,10.1125000000,10.9900000000,19.9761000000,18.4783000000,20.5403500000,0.0000000000,0.0000000000,0.0250055568,267.8000000000,268967,193,268967,0,0,0,0
street,PC<->VR 状态同步,29.8650000000,29.1900000000,31.2525000000,39.3405000000,37.6432250000,42.5475000000,0.0000000000,0.0000000000,0.0000000000,56.4300000000,168609,145,29.8650000000,29.1900000000,31.2525000000,39.3405000000,37.6432250000,42.5475000000,0.0000000000,0.0000000000,0.0000000000,56.4300000000,168609,145,168609,0,0,0,0
