participant,scene,link,scheme,state,samples_n,denominator_n,percent
P5,street,PC<->VR 状态同步,GC_retained,Not required,16758,16758,100.0000000000
P6,supermarket,EyeTracking→PC,GC_filtered,Ready,28119,28119,100.0000000000
P6,supermarket,EyeTracking→PC,GC_retained,Ready,28782,28782,100.0000000000
P6,supermarket,MoCap→PC,GC_filtered,<missing>,26375,26375,100.0000000000
P6,supermarket,MoCap→PC,GC_retained,<missing>,26999,26999,100.0000000000
P6,supermarket,MoCap→VR,GC_filtered,<missing>,26986,26986,100.0000000000
P6,supermarket,MoCap→VR,GC_retained,<missing>,26986,26986,100.0000000000
P6,supermarket,PC<->VR 状态同步,GC_filtered,Not required,16159,16159,100.0000000000
P6,supermarket,PC<->VR 状态同步,GC_retained,Not required,16159,16159,100.0000000000
P6,street,EyeTracking→PC,GC_filtered,Ready,27577,27577,100.0000000000
P6,street,EyeTracking→PC,GC_retained,Ready,28338,28338,100.0000000000
P6,street,MoCap→PC,GC_filtered,<missing>,26268,26268,100.0000000000
P6,street,MoCap→PC,GC_retained,<missing>,27000,27000,100.0000000000
P6,street,MoCap→VR,GC_filtered,<missing>,26990,26990,100.0000000000
P6,street,MoCap→VR,GC_retained,<missing>,26990,26990,100.0000000000
P6,street,PC<->VR 状态同步,GC_filtered,Not required,16307,16307,100.0000000000
P6,street,PC<->VR 状态同步,GC_retained,Not required,16307,16307,100.0000000000
P7,supermarket,EyeTracking→PC,GC_filtered,Ready,27852,27852,100.0000000000
P7,supermarket,EyeTracking→PC,GC_retained,Ready,28471,28471,100.0000000000
P7,supermarket,MoCap→PC,GC_filtered,<missing>,26265,26265,100.0000000000
P7,supermarket,MoCap→PC,GC_retained,<missing>,26855,26855,100.0000000000
P7,supermarket,MoCap→VR,GC_filtered,<missing>,26846,26846,100.0000000000
P7,supermarket,MoCap→VR,GC_retained,<missing>,26846,26846,100.0000000000
P7,supermarket,PC<->VR 状态同步,GC_filtered,Not required,15288,15288,100.0000000000
P7,supermarket,PC<->VR 状态同步,GC_retained,Not required,15288,15288,100.0000000000
P7,street,EyeTracking→PC,GC_filtered,Ready,28298,28298,100.0000000000
P7,street,EyeTracking→PC,GC_retained,Ready,28874,28874,100.0000000000
P7,street,MoCap→PC,GC_filtered,<missing>,26458,26458,100.0000000000
P7,street,MoCap→PC,GC_retained,<missing>,27001,27001,100.0000000000
P7,street,MoCap→VR,GC_filtered,<missing>,26993,26993,100.0000000000
P7,street,MoCap→VR,GC_retained,<missing>,26993,26993,100.0000000000
P7,street,PC<->VR 状态同步,GC_filtered,Not required,16607,16607,100.0000000000
P7,street,PC<->VR 状态同步,GC_retained,Not required,16607,16607,100.0000000000
P8,supermarket,EyeTracking→PC,GC_filtered,Ready,27522,27522,100.0000000000
P8,supermarket,EyeTracking→PC,GC_retained,Ready,28394,28394,100.0000000000
P8,supermarket,MoCap→PC,GC_filtered,<missing>,25931,25931,100.0000000000
