participant,scene,source,event_id,elapsed_s,nearest_heuristic_delta_ms
P2,street,cross_link_heuristic,19,223.3635000000,0.0000000000
P2,street,cross_link_heuristic,20,235.1600000000,0.0000000000
P2,street,cross_link_heuristic,21,247.0240000000,0.0000000000
P2,street,cross_link_heuristic,22,258.8915000000,0.0000000000
P2,street,cross_link_heuristic,23,270.7324990000,0.0000000000
P2,street,cross_link_heuristic,24,282.5715000000,0.0000000000
P2,street,cross_link_heuristic,25,294.4409990000,0.0000000000
P3,supermarket,cross_link_heuristic,1,5.9514990000,0.0000000000
P3,supermarket,cross_link_heuristic,2,20.5029990000,0.0000000000
P3,supermarket,cross_link_heuristic,3,33.7119990000,0.0000000000
P3,supermarket,cross_link_heuristic,4,46.8975000000,0.0000000000
P3,supermarket,cross_link_heuristic,5,60.3330000000,0.0000000000
P3,supermarket,cross_link_heuristic,6,73.5895000000,0.0000000000
P3,supermarket,cross_link_heuristic,7,86.8500000000,0.0000000000
P3,supermarket,cross_link_heuristic,8,100.1405000000,0.0000000000
P3,supermarket,cross_link_heuristic,9,113.3984990000,0.0000000000
P3,supermarket,cross_link_heuristic,10,126.9304990000,0.0000000000
P3,supermarket,cross_link_heuristic,11,140.4645000000,0.0000000000
P3,supermarket,cross_link_heuristic,12,153.7000000000,0.0000000000
P3,supermarket,cross_link_heuristic,13,166.8789990000,0.0000000000
P3,supermarket,cross_link_heuristic,14,180.0744990000,0.0000000000
P3,supermarket,cross_link_heuristic,15,193.3605000000,0.0000000000
P3,supermarket,cross_link_heuristic,16,206.7119990000,0.0000000000
P3,supermarket,cross_link_heuristic,17,220.0624990000,0.0000000000
P3,supermarket,cross_link_heuristic,18,233.6085000000,0.0000000000
P3,supermarket,cross_link_heuristic,19,246.7925000000,0.0000000000
P3,supermarket,cross_link_heuristic,20,259.9789990000,0.0000000000
P3,supermarket,cross_link_heuristic,21,273.2754990000,0.0000000000
P3,supermarket,cross_link_heuristic,22,286.4304990000,0.0000000000
P3,supermarket,cross_link_heuristic,23,299.6629990000,0.0000000000
P3,street,direct_log,1,14.2580000000,5.4990000000
P3,street,direct_log,2,29.5550000000,5.9990000000
P3,street,direct_log,3,44.8360000000,6.0000000000
P3,street,direct_log,4,60.0220000000,8.0000000000
P3,street,direct_log,5,75.2860000000,8.4990000000
P3,street,direct_log,6,90.7130000000,7.0000000000
P3,street,direct_log,7,106.1680000000,6.0000000000
P3,street,direct_log,8,121.5320000000,1.0000000000
P3,street,direct_log,9,136.8670000000,5.0000000000
P3,street,direct_log,10,152.2220000000,7.0000000000
P3,street,direct_log,11,167.4920000000,5.0000000000
P3,street,direct_log,12,182.7980000000,9.4990000000
P3,street,direct_log,13,198.1150000000,10.4990000000
P3,street,direct_log,14,213.5910000000,4.5000000000
P3,street,direct_log,15,229.1870000000,9.9990000000
P3,street,direct_log,16,244.6890000000,5.5000000000
P3,street,direct_log,17,260.2370000000,4.4990000000
P3,street,direct_log,18,275.7120000000,5.0000000000
P3,street,direct_log,19,291.2020000000,4.0000000000
P4,supermarket,direct_log,1,7.8140000000,5.0000000000
P4,supermarket,direct_log,2,19.7170000000,7.5000000000
P4,supermarket,direct_log,3,31.7680000000,11.5000000000
P4,supermarket,direct_log,4,43.5140000000,7.4990000000
P4,supermarket,direct_log,5,55.3760000000,9.4990000000
P4,supermarket,direct_log,6,66.9190000000,7.4990000000
P4,supermarket,direct_log,7,78.4700000000,10.0000000000
P4,supermarket,direct_log,8,90.0850000000,7.0000000000
P4,supermarket,direct_log,9,101.7370000000,8.0000000000
P4,supermarket,direct_log,10,113.2280000000,5.4990000000
P4,supermarket,direct_log,11,124.9010000000,11.5000000000
P4,supermarket,direct_log,12,136.5430000000,11.0000000000
P4,supermarket,direct_log,13,148.2450000000,8.5000000000
P4,supermarket,direct_log,14,159.7440000000,1.5000000000
P4,supermarket,direct_log,15,171.3760000000,8.4990000000
P4,supermarket,direct_log,16,183.0550000000,7.9990000000
